purchase_time,purchase_date,quantity
2017/6/6 11:27,2017/6/6,10
2017/5/27 4:22,2017/5/27,9
2017/6/4 22:40,2017/6/4,3
2017/6/12 12:04,2017/6/12,4
2017/5/16 17:01,2017/5/16,11
2017/5/10 21:31,2017/5/10,2
2017/5/7 14:30,2017/5/7,4
2017/6/14 21:18,2017/6/14,13
2017/6/11 9:33,2017/6/11,5
2017/5/29 22:38,2017/5/29,2
2017/6/1 12:58,2017/6/1,8
2017/6/14 11:59,2017/6/14,6
2017/5/17 16:05,2017/5/17,3
2017/6/5 11:38,2017/6/5,11
2017/5/6 19:09,2017/5/6,6
2017/6/4 12:58,2017/6/4,13
2017/5/18 8:42,2017/5/18,12
2017/5/2 14:07,2017/5/2,2
2017/5/15 22:40,2017/5/15,3
2017/6/6 19:29,2017/6/6,12
2017/5/9 14:21,2017/5/9,11
2017/5/13 15:39,2017/5/13,9
2017/5/18 13:31,2017/5/18,14
2017/6/3 12:11,2017/6/3,13
2017/5/16 13:13,2017/5/16,9
2017/5/14 13:56,2017/5/14,6
2017/5/21 18:23,2017/5/21,10
2017/5/22 20:12,2017/5/22,8
2017/5/18 20:45,2017/5/18,1
2017/5/24 16:04,2017/5/24,13
2017/5/21 13:13,2017/5/21,6
2017/6/5 18:23,2017/6/5,7
2017/5/3 13:11,2017/5/3,13
2017/6/2 20:47,2017/6/2,11
2017/6/4 10:16,2017/6/4,13
2017/5/3 20:18,2017/5/3,6
2017/6/10 16:37,2017/6/10,11
2017/5/5 14:21,2017/5/5,1
2017/6/4 17:44,2017/6/4,11
2017/5/12 8:59,2017/5/12,14
2017/5/19 15:56,2017/5/19,2
2017/5/30 18:19,2017/5/30,2
2017/5/20 19:45,2017/5/20,2
2017/6/5 13:16,2017/6/5,6
2017/6/8 13:23,2017/6/8,11
2017/6/12 10:06,2017/6/12,9
2017/5/7 22:18,2017/5/7,5
2017/5/19 12:41,2017/5/19,5
2017/5/15 10:14,2017/5/15,11
2017/6/4 12:37,2017/6/4,6
2017/5/21 9:58,2017/5/21,12
2017/5/11 16:21,2017/5/11,12
2017/5/3 15:55,2017/5/3,1
2017/6/6 23:09,2017/6/6,5
2017/5/7 14:06,2017/5/7,7
2017/5/17 18:14,2017/5/17,10
2017/5/23 12:22,2017/5/23,8
2017/5/4 13:24,2017/5/4,13
2017/5/16 11:26,2017/5/16,3
2017/5/25 11:07,2017/5/25,11
2017/6/5 9:11,2017/6/5,4
2017/6/10 16:44,2017/6/10,4
2017/6/8 23:53,2017/6/8,5
2017/5/5 13:26,2017/5/5,9
2017/5/21 11:36,2017/5/21,1
2017/5/16 15:18,2017/5/16,4
2017/5/6 22:22,2017/5/6,7
2017/5/21 7:58,2017/5/21,13
2017/6/1 15:40,2017/6/1,13
2017/5/5 0:16,2017/5/5,5
2017/5/24 8:28,2017/5/24,4
2017/6/10 13:45,2017/6/10,8
2017/6/3 10:35,2017/6/3,11
2017/5/24 17:12,2017/5/24,12
2017/5/10 11:52,2017/5/10,13
2017/6/10 22:50,2017/6/10,7
2017/5/19 15:52,2017/5/19,3
2017/6/11 23:41,2017/6/11,4
2017/6/4 18:53,2017/6/4,9
2017/5/9 17:54,2017/5/9,14
2017/5/19 14:25,2017/5/19,9
2017/5/29 15:07,2017/5/29,6
2017/5/27 11:15,2017/5/27,5
2017/6/10 16:30,2017/6/10,12
2017/5/25 22:33,2017/5/25,10
2017/5/21 10:32,2017/5/21,5
2017/5/8 18:46,2017/5/8,7
2017/5/27 13:38,2017/5/27,7
2017/6/15 11:12,2017/6/15,10
2017/5/29 13:06,2017/5/29,4
2017/5/24 8:14,2017/5/24,10
2017/5/22 17:19,2017/5/22,12
2017/5/3 13:06,2017/5/3,11
2017/6/5 15:30,2017/6/5,7
2017/5/2 3:48,2017/5/2,10
2017/5/11 11:20,2017/5/11,5
2017/5/27 18:42,2017/5/27,3
2017/5/3 21:31,2017/5/3,14
2017/5/12 20:43,2017/5/12,4
2017/5/26 16:15,2017/5/26,4
2017/5/9 20:49,2017/5/9,14
2017/5/7 18:34,2017/5/7,11
2017/6/7 15:04,2017/6/7,8
2017/5/21 8:00,2017/5/21,10
2017/5/8 22:39,2017/5/8,13
2017/6/1 23:10,2017/6/1,8
2017/6/15 19:25,2017/6/15,4
2017/5/7 12:42,2017/5/7,1
2017/5/30 14:31,2017/5/30,11
2017/5/17 14:33,2017/5/17,2
2017/5/6 9:26,2017/5/6,8
2017/5/22 12:15,2017/5/22,13
2017/5/15 21:24,2017/5/15,6
2017/5/30 7:59,2017/5/30,3
2017/5/18 17:25,2017/5/18,14
2017/5/2 22:19,2017/5/2,7
2017/5/4 20:12,2017/5/4,9
2017/5/4 15:19,2017/5/4,4
2017/6/8 14:04,2017/6/8,4
2017/5/4 19:35,2017/5/4,11
2017/6/2 9:40,2017/6/2,14
2017/5/6 12:16,2017/5/6,11
2017/5/24 21:02,2017/5/24,4
2017/6/7 13:22,2017/6/7,3
2017/6/8 21:32,2017/6/8,10
2017/6/5 18:53,2017/6/5,1
2017/5/25 11:43,2017/5/25,14
2017/5/26 22:34,2017/5/26,11
2017/5/30 19:27,2017/5/30,11
2017/5/1 23:09,2017/5/1,9
2017/5/18 15:32,2017/5/18,7
2017/6/13 22:28,2017/6/13,1
2017/6/6 16:12,2017/6/6,11
2017/6/4 17:42,2017/6/4,2
2017/5/18 20:46,2017/5/18,5
2017/6/6 11:18,2017/6/6,2
2017/5/17 10:19,2017/5/17,3
2017/5/3 9:56,2017/5/3,2
2017/6/1 18:51,2017/6/1,14
2017/5/4 8:25,2017/5/4,4
2017/6/10 12:02,2017/6/10,3
2017/5/24 18:59,2017/5/24,6
2017/6/14 18:31,2017/6/14,5
2017/5/6 21:08,2017/5/6,11
2017/6/13 22:30,2017/6/13,4
2017/6/4 19:58,2017/6/4,1
2017/5/29 12:07,2017/5/29,11
2017/6/3 12:36,2017/6/3,12
2017/6/2 13:14,2017/6/2,11
2017/5/8 23:20,2017/5/8,10
2017/5/19 13:05,2017/5/19,8
2017/5/17 9:03,2017/5/17,14
2017/5/15 12:07,2017/5/15,12
2017/6/14 19:06,2017/6/14,10
2017/5/27 0:14,2017/5/27,9
2017/5/7 12:01,2017/5/7,5
2017/5/29 20:54,2017/5/29,11
2017/5/6 13:58,2017/5/6,2
2017/5/20 19:09,2017/5/20,13
2017/6/7 23:50,2017/6/7,11
2017/6/5 2:27,2017/6/5,13
2017/5/25 1:04,2017/5/25,12
2017/6/5 14:48,2017/6/5,11
2017/6/1 17:00,2017/6/1,13
2017/5/16 12:28,2017/5/16,14
2017/5/5 18:34,2017/5/5,8
2017/5/25 14:33,2017/5/25,9
2017/6/2 16:42,2017/6/2,4
2017/5/1 22:12,2017/5/1,14
2017/6/6 20:31,2017/6/6,11
2017/6/14 1:28,2017/6/14,8
2017/6/1 16:08,2017/6/1,3
2017/6/5 10:05,2017/6/5,6
2017/6/10 1:21,2017/6/10,7
2017/5/5 16:46,2017/5/5,10
2017/6/4 15:51,2017/6/4,9
2017/6/5 15:09,2017/6/5,14
2017/6/15 19:34,2017/6/15,6
2017/5/9 17:16,2017/5/9,4
2017/6/1 8:17,2017/6/1,9
2017/5/12 12:50,2017/5/12,5
2017/6/2 12:16,2017/6/2,2
2017/5/12 23:16,2017/5/12,7
2017/5/29 17:46,2017/5/29,3
2017/5/1 17:42,2017/5/1,1
2017/5/10 22:02,2017/5/10,13
2017/6/6 8:27,2017/6/6,3
2017/5/10 10:39,2017/5/10,5
2017/5/31 20:51,2017/5/31,2
2017/5/26 15:40,2017/5/26,13
2017/6/9 9:14,2017/6/9,4
2017/5/28 22:42,2017/5/28,4
2017/5/6 17:54,2017/5/6,9
2017/6/4 23:03,2017/6/4,1
2017/5/23 21:23,2017/5/23,10
2017/5/30 11:54,2017/5/30,12
2017/6/1 13:39,2017/6/1,7
2017/6/6 12:34,2017/6/6,9
2017/6/2 11:27,2017/6/2,2
2017/5/15 22:05,2017/5/15,12
2017/6/12 8:37,2017/6/12,2
2017/5/16 20:39,2017/5/16,14
2017/6/2 21:44,2017/6/2,1
2017/5/28 15:08,2017/5/28,3
2017/6/14 14:05,2017/6/14,1
2017/6/12 18:37,2017/6/12,9
2017/5/13 20:42,2017/5/13,14
2017/6/12 10:10,2017/6/12,9
2017/6/5 23:17,2017/6/5,8
2017/6/1 19:33,2017/6/1,2
2017/6/5 12:57,2017/6/5,1
2017/5/15 14:09,2017/5/15,12
2017/5/15 10:57,2017/5/15,10
2017/5/21 20:12,2017/5/21,10
2017/6/6 10:36,2017/6/6,11
2017/5/14 14:59,2017/5/14,9
2017/6/9 16:08,2017/6/9,2
2017/5/8 15:09,2017/5/8,12
2017/6/2 9:19,2017/6/2,9
2017/5/2 3:31,2017/5/2,11
2017/6/3 20:16,2017/6/3,9
2017/5/17 19:12,2017/5/17,2
2017/5/21 19:39,2017/5/21,9
2017/5/31 22:42,2017/5/31,14
2017/6/11 16:33,2017/6/11,13
2017/5/25 7:35,2017/5/25,11
2017/5/12 20:52,2017/5/12,13
2017/5/2 12:03,2017/5/2,1
2017/5/21 19:35,2017/5/21,11
2017/6/6 19:02,2017/6/6,10
2017/5/8 14:57,2017/5/8,12
2017/5/17 12:44,2017/5/17,8
2017/5/10 20:54,2017/5/10,10
2017/5/21 21:55,2017/5/21,11
2017/6/1 19:08,2017/6/1,9
2017/5/7 12:41,2017/5/7,11
2017/6/1 13:20,2017/6/1,14
2017/5/24 0:06,2017/5/24,5
2017/6/8 21:58,2017/6/8,14
2017/5/27 13:30,2017/5/27,10
2017/5/24 14:55,2017/5/24,12
2017/5/4 16:40,2017/5/4,2
2017/6/3 15:02,2017/6/3,7
2017/5/20 17:21,2017/5/20,2
2017/5/21 17:28,2017/5/21,8
2017/6/13 19:01,2017/6/13,13
2017/5/2 10:52,2017/5/2,12
2017/6/2 12:37,2017/6/2,8
2017/5/26 12:11,2017/5/26,13
2017/5/10 14:04,2017/5/10,9
2017/6/6 19:49,2017/6/6,5
2017/5/11 12:14,2017/5/11,6
2017/5/5 0:49,2017/5/5,1
2017/6/13 23:51,2017/6/13,14
2017/5/29 21:30,2017/5/29,5
2017/6/6 19:37,2017/6/6,2
2017/6/1 13:23,2017/6/1,5
2017/6/10 17:21,2017/6/10,12
2017/5/21 11:56,2017/5/21,7
2017/6/11 10:32,2017/6/11,8
2017/5/22 11:08,2017/5/22,4
2017/5/22 12:27,2017/5/22,7
2017/5/17 12:24,2017/5/17,13
2017/5/24 18:20,2017/5/24,10
2017/5/29 9:08,2017/5/29,9
2017/6/6 13:07,2017/6/6,7
2017/5/15 17:04,2017/5/15,10
2017/5/3 16:29,2017/5/3,13
2017/5/29 23:05,2017/5/29,11
2017/6/13 11:43,2017/6/13,5
2017/5/8 22:37,2017/5/8,14
2017/5/14 21:52,2017/5/14,7
2017/5/12 7:18,2017/5/12,2
2017/6/8 10:17,2017/6/8,5
2017/5/1 12:25,2017/5/1,1
2017/6/6 15:55,2017/6/6,12
2017/5/13 21:52,2017/5/13,10
2017/6/15 12:25,2017/6/15,9
2017/6/15 14:39,2017/6/15,10
2017/5/8 16:35,2017/5/8,12
2017/5/22 19:49,2017/5/22,6
2017/5/2 20:55,2017/5/2,3
2017/5/11 12:17,2017/5/11,7
2017/5/1 20:47,2017/5/1,12
2017/5/26 7:37,2017/5/26,13
2017/5/12 11:42,2017/5/12,4
2017/5/24 11:48,2017/5/24,6
2017/5/10 22:44,2017/5/10,14
2017/5/15 19:56,2017/5/15,7
2017/5/2 15:19,2017/5/2,3
2017/5/7 14:22,2017/5/7,7
2017/5/15 17:41,2017/5/15,6
2017/5/8 17:33,2017/5/8,2
2017/5/30 11:13,2017/5/30,1
2017/5/26 14:11,2017/5/26,3
2017/5/6 18:20,2017/5/6,1
2017/5/5 0:01,2017/5/5,5
2017/5/22 22:49,2017/5/22,14
2017/5/21 20:10,2017/5/21,11
2017/6/1 13:26,2017/6/1,6
2017/5/22 21:16,2017/5/22,5
2017/5/14 21:56,2017/5/14,7
2017/5/28 14:09,2017/5/28,14
2017/5/13 11:20,2017/5/13,9
2017/5/1 23:51,2017/5/1,3
2017/5/5 13:46,2017/5/5,2
2017/5/5 20:33,2017/5/5,9
2017/5/6 10:58,2017/5/6,6
2017/5/17 21:21,2017/5/17,6
2017/6/11 17:09,2017/6/11,9
2017/5/9 23:31,2017/5/9,14
2017/5/19 14:05,2017/5/19,14
2017/5/24 10:08,2017/5/24,4
2017/5/9 21:27,2017/5/9,13
2017/6/3 11:55,2017/6/3,13
